"timestamp","direction","dpu_id"
"2018-02-27T00:39:48.976Z",1,"283"
"2018-02-27T00:40:02.642Z",-1,"283"
"2018-02-27T00:40:19.276Z",1,"283"
"2018-02-27T00:40:51.909Z",-1,"283"
"2018-02-27T00:40:58.076Z",1,"283"
"2018-02-27T00:41:26.376Z",-1,"283"
"2018-02-27T00:41:31.142Z",1,"283"
"2018-02-27T01:03:53.080Z",-1,"283"
"2018-02-27T01:17:01.616Z",-1,"283"
"2018-02-27T01:17:09.850Z",1,"283"
"2018-02-27T01:25:42.751Z",1,"283"
"2018-02-27T01:25:52.818Z",-1,"283"
"2018-02-27T01:30:37.086Z",-1,"283"
"2018-02-27T01:36:48.254Z",-1,"283"
"2018-02-27T01:37:59.654Z",-1,"283"
"2018-02-27T01:54:02.957Z",-1,"283"
"2018-02-27T02:00:33.758Z",-1,"283"
"2018-02-27T02:08:41.561Z",-1,"283"
"2018-02-27T02:10:36.895Z",-1,"283"
"2018-02-27T02:25:37.066Z",-1,"283"
"2018-02-27T02:46:22.468Z",-1,"283"
"2018-02-27T03:06:07.440Z",-1,"283"
"2018-02-27T03:06:09.773Z",-1,"283"
"2018-02-27T03:06:12.907Z",-1,"283"
"2018-02-27T03:49:16.449Z",-1,"283"
"2018-02-27T05:55:13.672Z",1,"283"
"2018-02-27T05:55:16.472Z",1,"283"
"2018-02-27T07:00:10.756Z","-1","423"
"2018-02-27T07:07:09.884Z",-1,"283"
"2018-02-27T07:07:13.050Z",-1,"283"
"2018-02-27T08:18:53.766Z",1,"283"
"2018-02-27T08:19:20.066Z",1,"283"
"2018-02-27T09:13:51.242Z",-1,"283"
"2018-02-27T09:16:13.642Z",1,"283"
"2018-02-27T09:23:07.777Z",-1,"283"
"2018-02-27T09:24:29.477Z",-1,"283"
"2018-02-27T11:40:54.390Z","-1","423"
"2018-02-27T16:04:25.920Z",1,"283"
"2018-02-27T16:19:56.024Z",1,"283"
"2018-02-27T16:25:29.926Z",1,"283"
"2018-02-27T16:40:12.361Z",1,"283"
"2018-02-27T17:13:29.102Z",1,"283"
"2018-02-27T17:23:27.403Z",1,"283"
"2018-02-27T17:26:37.704Z",1,"283"
"2018-02-27T17:28:36.038Z",1,"283"
"2018-02-27T17:48:53.142Z",1,"283"
"2018-02-27T17:49:44.742Z",1,"283"
"2018-02-27T17:52:56.409Z",1,"283"
"2018-02-27T18:17:39.681Z",1,"283"
"2018-02-27T18:19:15.148Z",-1,"283"
"2018-02-27T18:19:16.815Z",1,"283"
"2018-02-27T18:19:50.382Z",-1,"283"
"2018-02-27T18:19:52.915Z",1,"283"
"2018-02-27T18:22:00.449Z",1,"283"
